79
BC: self.M(i + 1, j) => self.M(i, j), {i/4, j/0}
BC: self.M(i, j - 1) => self.M(i, j), {i/5, j/1}
BC: self.M(i - 1, j) => self.M(i, j), {i/6, j/0}
BC: self.M(i + 1, j) => self.M(i, j), {i/3, j/0}
BC: self.M(i, j - 1) => self.M(i, j), {i/4, j/1}
BC: self.M(i + 1, j) => self.M(i, j), {i/2, j/0}
BC: self.M(i, j - 1) => self.M(i, j), {i/3, j/1}
BC: self.M(i + 1, j) => self.M(i, j), {i/1, j/0}
BC: self.M(i, j - 1) => self.M(i, j), {i/2, j/1}
BC: self.M(i, j - 1) => self.M(i, j), {i/3, j/2}
BC: self.M(i, j - 1) => self.M(i, j), {i/5, j/2}
BC: self.M(i - 1, j) => self.M(i, j), {i/6, j/1}
BC: self.M(i, j - 1) => self.M(i, j), {i/6, j/2}
BC: self.M(i - 1, j) => self.M(i, j), {i/7, j/1}
BC: self.M(i, j - 1) => self.M(i, j), {i/7, j/2}
BC: self.M(i - 1, j) => self.M(i, j), {i/8, j/1}
BC: self.M(i, j + 1) => self.M(i, j), {i/7, j/0}
BC: self.M(i - 1, j) => self.M(i, j), {i/8, j/0}
BC: self.M(i - 1, j) => self.M(i, j), {i/9, j/0}
BC: self.M(i, j - 1) => self.M(i, j), {i/9, j/1}
BC: self.M(i, j - 1) => self.M(i, j), {i/9, j/2}
BC: self.M(i, j - 1) => self.M(i, j), {i/6, j/3}
BC: self.M(i + 1, j) => self.M(i, j), {i/5, j/3}
BC: self.M(i, j - 1) => self.M(i, j), {i/6, j/4}
BC: self.M(i - 1, j) => self.M(i, j), {i/7, j/3}
BC: self.M(i + 1, j) => self.M(i, j), {i/4, j/3}
BC: self.M(i, j - 1) => self.M(i, j), {i/5, j/4}
BC: self.M(i + 1, j) => self.M(i, j), {i/4, j/4}
BC: self.M(i, j - 1) => self.M(i, j), {i/5, j/5}
BC: self.M(i + 1, j) => self.M(i, j), {i/3, j/4}
BC: self.M(i, j - 1) => self.M(i, j), {i/4, j/5}
BC: self.M(i + 1, j) => self.M(i, j), {i/3, j/5}
BC: self.M(i, j - 1) => self.M(i, j), {i/4, j/6}
BC: self.M(i + 1, j) => self.M(i, j), {i/2, j/5}
BC: self.M(i, j - 1) => self.M(i, j), {i/3, j/6}
BC: self.M(i + 1, j) => self.M(i, j), {i/2, j/6}
BC: self.M(i, j - 1) => self.M(i, j), {i/3, j/7}
BC: self.M(i + 1, j) => self.M(i, j), {i/1, j/6}
BC: self.M(i, j - 1) => self.M(i, j), {i/2, j/7}
BC: self.M(i + 1, j) => self.M(i, j), {i/1, j/7}
BC: self.M(i, j - 1) => self.M(i, j), {i/2, j/8}
BC: self.M(i, j - 1) => self.M(i, j), {i/5, j/6}
BC: self.M(i - 1, j) => self.M(i, j), {i/6, j/5}
BC: self.M(i, j - 1) => self.M(i, j), {i/6, j/6}
BC: self.M(i - 1, j) => self.M(i, j), {i/7, j/5}
BC: self.M(i, j - 1) => self.M(i, j), {i/7, j/6}
BC: self.M(i - 1, j) => self.M(i, j), {i/8, j/5}
BC: self.M(i, j + 1) => self.M(i, j), {i/7, j/4}
BC: self.M(i - 1, j) => self.M(i, j), {i/8, j/3}
BC: self.M(i, j - 1) => self.M(i, j), {i/7, j/7}
BC: self.M(i - 1, j) => self.M(i, j), {i/8, j/6}
BC: self.M(i, j - 1) => self.M(i, j), {i/6, j/7}
BC: self.M(i, j - 1) => self.M(i, j), {i/5, j/7}
BC: self.M(i, j - 1) => self.M(i, j), {i/6, j/8}
BC: self.M(i + 1, j) => self.M(i, j), {i/5, j/8}
BC: self.M(i, j - 1) => self.M(i, j), {i/6, j/9}
BC: self.M(i - 1, j) => self.M(i, j), {i/7, j/8}
BC: self.M(i + 1, j) => self.M(i, j), {i/4, j/8}
BC: self.M(i, j - 1) => self.M(i, j), {i/5, j/9}
BC: self.M(i + 1, j) => self.M(i, j), {i/4, j/9}
BC: self.M(i + 1, j) => self.M(i, j), {i/3, j/9}
BC: self.M(i + 1, j) => self.M(i, j), {i/2, j/9}
BC: self.M(i, j + 1) => self.M(i, j), {i/3, j/8}
BC: self.M(i + 1, j) => self.M(i, j), {i/1, j/9}
BC: self.M(i, j - 1) => self.M(i, j), {i/7, j/9}
BC: self.M(i - 1, j) => self.M(i, j), {i/8, j/8}
BC: self.M(i - 1, j) => self.M(i, j), {i/8, j/9}
BC: self.M(i - 1, j) => self.M(i, j), {i/9, j/9}
BC: self.M(i + 1, j) => self.M(i, j), {i/2, j/2}
BC: self.M(i, j - 1) => self.M(i, j), {i/3, j/3}
BC: self.M(i, j - 1) => self.M(i, j), {i/3, j/3}
BC: self.M(i + 1, j) => self.M(i, j), {i/1, j/2}
BC: self.M(i, j - 1) => self.M(i, j), {i/2, j/3}
BC: self.M(i - 1, j) => self.M(i, j), {i/9, j/5}
BC: self.M(i - 1, j) => self.M(i, j), {i/9, j/5}
BC: self.M(i - 1, j) => self.M(i, j), {i/9, j/4}
BC: self.M(i, j + 1) => self.M(i, j), {i/9, j/3}
BC: self.M(i, j - 1) => self.M(i, j), {i/9, j/6}
BC: self.M(i, j - 1) => self.M(i, j), {i/9, j/7}
